	Country	stage	value
1	Argentina	World Cup Appearances	4
2	Brazil	World Cup Appearances	7
3	England	World Cup Appearances	0
4	France	World Cup Appearances	3
5	Germany	World Cup Appearances	0
6	Spain	World Cup Appearances	3
7	Portugal	World Cup Appearances	0
8	Poland	World Cup Appearances	1
9	Colombia	World Cup Appearances	0
10	Sweden	World Cup Appearances	4
11	Croatia	World Cup Appearances	0
12	Uruguay	World Cup Appearances	0
13	Denmark	World Cup Appearances	0
14	Belgium	World Cup Appearances	0
15	Mexico	World Cup Appearances	6
16	Peru	World Cup Appearances	1
17	Russia	World Cup Appearances	0
18	Switzerland	World Cup Appearances	0
19	Costa Rica	World Cup Appearances	0
20	Egypt	World Cup Appearances	0
21	South Korea	World Cup Appearances	0
22	Japan	World Cup Appearances	0
23	Nigeria	World Cup Appearances	0
24	Morocco	World Cup Appearances	0
25	Australia	World Cup Appearances	0
26	Iran	World Cup Appearances	0
27	Iceland	World Cup Appearances	0
28	Serbia	World Cup Appearances	0
29	Tunisia	World Cup Appearances	0
30	Senegal	World Cup Appearances	0
31	Panama	World Cup Appearances	0
32	Saudi Arabia	World Cup Appearances	0
33	Argentina	Field of 16 Appearances	2
34	Brazil	Field of 16 Appearances	6
35	England	Field of 16 Appearances	0
36	France	Field of 16 Appearances	1
37	Germany	Field of 16 Appearances	0
38	Spain	Field of 16 Appearances	1
39	Portugal	Field of 16 Appearances	0
40	Poland	Field of 16 Appearances	1
41	Colombia	Field of 16 Appearances	0
42	Sweden	Field of 16 Appearances	3
43	Croatia	Field of 16 Appearances	0
44	Uruguay	Field of 16 Appearances	0
45	Denmark	Field of 16 Appearances	0
46	Belgium	Field of 16 Appearances	0
47	Mexico	Field of 16 Appearances	1
48	Peru	Field of 16 Appearances	1
49	Russia	Field of 16 Appearances	0
50	Switzerland	Field of 16 Appearances	0
51	Costa Rica	Field of 16 Appearances	0
52	Egypt	Field of 16 Appearances	0
53	South Korea	Field of 16 Appearances	0
54	Japan	Field of 16 Appearances	0
55	Nigeria	Field of 16 Appearances	0
56	Morocco	Field of 16 Appearances	0
57	Australia	Field of 16 Appearances	0
58	Iran	Field of 16 Appearances	0
59	Iceland	Field of 16 Appearances	0
