	Country	World Cup Appearances	Field of 16 Appearances	Quarterfinal Appearances	Semifianl Appearances	Final Appearances	World Cup Champions
1	Brazil	17	16	15	7	6	4
2	Germany	6	6	6	4	2	1
3	Spain	13	8	6	1	1	1
4	Argentina	14	10	10	3	4	2
5	France	11	6	5	5	2	1
6	Portugal	6	3	2	2	0	0
7	England	14	11	8	2	1	1
8	Colombia	5	2	1	0	0	0
9	Belgium	9	6	2	1	0	0
10	Peru	3	2	2	0	0	0
11	Uruguay	11	8	4	3	0	0
12	Switzerland	8	4	1	0	0	0
13	Mexico	14	8	2	0	0	0
14	Croatia	4	1	1	1	0	0
15	Denmark	4	3	1	0	0	0
16	Poland	6	4	2	1	0	0
17	Sweden	9	6	4	2	1	0
18	Iran	3	0	0	0	0	0
19	Iceland	0	0	0	0	0	0
20	Serbia	1	0	0	0	0	0
21	Senegal	1	1	1	0	0	0
22	South Korea	9	2	1	1	0	0
23	Costa Rica	4	2	1	0	0	0
24	Australia	4	1	0	0	0	0
25	Morocco	4	1	0	0	0	0
26	Nigeria	5	3	0	0	0	0
27	Japan	5	2	0	0	0	0
28	Russia	3	0	0	0	0	0
29	Panama	0	0	0	0	0	0
30	Tunisia	4	0	0	0	0	0
31	Egypt	1	0	0	0	0	0
32	Saudi Arabia	4	1	0	0	0	0
